Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Augustin,4 RUE JOSEPH SERLIN 69001 LYON,,Boulangerie,3,Lina,752959890
Le Fournil De L Opera,15 PLACE LOUIS PRADEL 69001 LYON,,Boulangerie,3,Lina,393534672
Les Eclaireurs,LES ECLAIREURS PATISSIERS - SALON DE T 20 PLACE DES TERREAUX 69001 LYON,,Boulangerie,3,Lina,842360216
Du Pain A La Pat',"ANGLE RUE DE LA REPUBLIQUE, STATION DE PLACE LOUIS PRADEL 69001 LYON",,Boulangerie,3,Lina,790875116
Pomponnette,1 - 3 1 RUE DU PLATRE 69001 LYON,,Boulangerie,3,Lina,852238690
Romane,144 BOULEVARD DE LA CROIX-ROUSSE 69001 LYON 1ER,,Boulangerie,3,Lina,935386276
Au Pain Des Traboules,9 RUE LANTERNE 69001 LYON,,Boulangerie,3,Lina,830824900
Hippolyte Et Antoinette,15 RUE HIPPOLYTE FLANDRIN 69001 LYON,,Boulangerie,3,Lina,831078076
Bsv,49 QUAI SAINT VINCENT 69001 LYON,,Boulangerie,3,Lina,887847432
Pia,44 RUE SGT BLANDAN 69001 LYON 1ER,,Boulangerie,3,Lina,839648300
Bonomia,9 RUE DES PIERRES PLANTEES 69001 LYON,,Boulangerie,3,Lina,904729464
Boulangerie D'Albon,11 RUE CHAVANNE 69001 LYON,,Boulangerie,3,Lina,980208458
Olva,6 RUE CONSTANTINE 69001 LYON,,Boulangerie,3,Lina,100257401
Boulangerie De La Martiniere,24 RUE DE LA MARTINIERE 69001 LYON,,Boulangerie,3,Lina,414116368
Bolliet,49 RUE DES CHARTREUX 69001 LYON,,Boulangerie,3,Lina,378940084
Le Boulanger Des Chartreux,49 RUE DES CHARTREUX 69001 LYON,,Boulangerie,3,Lina,810797571
Gasc,11 RUE CHAVANNE 69001 LYON,,Boulangerie,3,Lina,830442372
Boulangerie De La Croix-Paquet,3 PLACE CROIX-PAQUET 69001 LYON,,Boulangerie,3,Lina,820901312
Plantes Et Pains,3 PLACE CROIX-PAQUET 69001 LYON,,Boulangerie,3,Lina,948674338
My Little Babka,42 RUE SGT BLANDAN 69001 LYON 1ER,,Boulangerie,3,Lina,979862158
Boulangerie Mhaya,1-3 1 RUE DU PLATRE 69001 LYON,,Boulangerie,3,Lina,951679976
Padre Fermento,49 RUE DES CHARTREUX 69001 LYON,,Boulangerie,3,Lina,984931360
Maison Deschamps,12 RUE D'ALGERIE 69001 LYON,,Boulangerie,3,Lina,989875091
Tiramiisu,6 RUE PAUL CHENAVARD 69001 LYON,,Boulangerie,3,Lina,101643781
Chez Gregoire,6 RUE CONSTANTINE 69001 LYON,,Boulangerie,3,Lina,847895919
Josephine,3 PLACE SATHONAY 69001 LYON,,Boulangerie,3,Lina,821429560
Zoi Kitchen,46 MONTEE DE LA GRANDE COTE 69001 LYON,,Boulangerie,3,Lina,841512577
Simple Comme Une Tarte,12 RUE MOTTET DE GERANDO 69001 LYON,,Boulangerie,3,Lina,924166820
La Maison Du Mochi,3 PLACE D'ALBON 69001 LYON,,Boulangerie,3,Lina,983982828
Diana Selic (Mladjen),2 RUE PRUNELLE 69001 LYON,,Boulangerie,3,Lina,448210195
Pain Gourmand,116 BOULEVARD DE LA CROIX-ROUSSE 69001 LYON,,Boulangerie,3,Lina,810402859
Les Gourmandises Du Clos Jouve,1 RUE CARQUILLAT 69001 LYON,,Boulangerie,3,Lina,400311478
Akdag Import Export,8 RUE SAINTE MARIE DES TERREAUX 69001 LYON,,Boulangerie,3,Lina,344771621
Ab Copains,80 RUE PRESIDENT EDOUARD HERRIOT 69002 LYON,,Boulangerie,3,Lina,899507552
Biscotte Bon Pain & Cie,5 RUE DUBOIS 69002 LYON,,Boulangerie,3,Lina,752959890
M.F.P.,18 RUE FERRANDIERE 69002 LYON,,Boulangerie,3,Lina,382285153
Pralus La Boulangerie,18 QUAI SAINT ANTOINE 69002 LYON,,Boulangerie,3,Lina,979813045
Maison Deschamps,GARE SNCF PARVIS SUD PLACE DES ARCHIVE 34 RUE DUGAS MONTBEL 69002 LYON,,Boulangerie,3,Lina,815195466
Boulangerie S.Chollet,62 B RUE DE LA CHARITE 69002 LYON,,Boulangerie,3,Lina,443855085
Boulangerie Chez Jules,5 RUE VAUBECOUR 69002 LYON,,Boulangerie,3,Lina,929111235
Eric Kayser,6 RUE DE LA BARRE 69002 LYON,,Boulangerie,3,Lina,504495078
Eric Kayser,22 RUE JARENTE 39 RUE VICTOR HUGO 69002 LYON,,Boulangerie,3,Lina,504495078
Sarl E Et C Basset,9 QUAI ANTOINE RIBOUD 69002 LYON,,Boulangerie,3,Lina,489382317
Sarl E Et C Basset,9 B QUAI ANTOINE RIBOUD 69002 LYON,,Boulangerie,3,Lina,489382317
O Le Pain,18 RUE CASIMIR PERIER 69002 LYON,,Boulangerie,3,Lina,488000605
Julien Poilane (O Le Pain),VILLAGES D ENTREPRISES PERRACHE 30 RUE SEGUIN 69002 LYON,,Boulangerie,3,Lina,488000605
Maison Antoine,18 QUAI SAINT ANTOINE 69002 LYON,,Boulangerie,3,Lina,890817976
Maison Antoine,7 RUE DE LA CHARITE 69002 LYON,,Boulangerie,3,Lina,890817976
Banneton Boulangerie,5 RUE DUBOIS 69002 LYON,,Boulangerie,3,Lina,979682523
Maison Pochat,2 PLACE CARNOT 69002 LYON,,Boulangerie,3,Lina,809881519
