Formation associée,Type d'établissement,Nom entreprise,Adresse complète,Code postal,Ville,Département,Téléphone,SIRET,Site web,Source,Date de collecte
Certification Assistante Juridique / TP Assistant Immo,cabinet d'avocats,Cabinet & Associés,"2 Rue de la Paix, 92000 Nanterre",92000,Nanterre,92,01 20 21 32 43,44853366100014,https://www.cabinet-et-associs.fr,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,étude notariale,Étude Conseil,"9 Avenue de la République, 92100 Boulogne-Billancourt",92100,Boulogne-Billancourt,92,01 33 58 13 96,51775015400026,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,agence immobilière,Maître Patrimoine,"16 Boulevard du Général de Gaulle, 92200 Neuilly-sur-Seine",92200,Neuilly-sur-Seine,92,01 46 95 84 59,,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,administrateur de biens,SCP Transactions,"23 Place de la Mairie, 92130 Issy-les-Moulineaux",92130,Issy-les-Moulineaux,92,01 59 42 65 22,,https://www.scp-transactions.fr,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,promoteur immobilier,SELARL Expertises,"30 Rue du Commerce, 92300 Levallois-Perret",92300,Levallois-Perret,92,01 72 79 46 75,48039776900047,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,cabinet d'avocats,Agence Immobilier,"37 Avenue Jean Jaurès, 92400 Courbevoie",92400,Courbevoie,92,01 85 26 27 38,90385115200038,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,étude notariale,Cabinet d'avocats Juridique,"44 Rue Nationale, 92600 Asnières-sur-Seine",92600,Asnières-sur-Seine,92,01 98 63 98 91,,https://www.cabinet-davocats-juridique.fr,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,agence immobilière,Étude notariale Partenaires,"51 Boulevard Voltaire, 92700 Colombes",92700,Colombes,92,01 21 10 79 54,,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,administrateur de biens,Office notarial Services,"58 Rue de la Liberté, 92500 Rueil-Malmaison",92500,Rueil-Malmaison,92,01 34 47 60 17,,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,promoteur immobilier,Agence immobilière Solutions,"65 Avenue du Maréchal Foch, 92160 Antony",92160,Antony,92,01 47 84 41 70,,https://www.agence-immobilire-solutions.fr,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,cabinet d'avocats,Cabinet immobilier & Partners,"72 Rue Victor Hugo, 92140 Clamart",92140,Clamart,92,01 60 31 22 33,,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,étude notariale,Groupe Notaires,"79 Place de la Liberté, 92290 Châtenay-Malabry",92290,Châtenay-Malabry,92,01 73 68 93 86,39891638700036,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,agence immobilière,Cabinet Avocats,"86 Allée des Fleurs, 92000 Nanterre",92000,Nanterre,92,01 86 15 74 49,92516296800018,https://www.cabinet-avocats.fr,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,administrateur de biens,Étude Avocats Associés,"93 Impasse des Arts, 92100 Boulogne-Billancourt",92100,Boulogne-Billancourt,92,01 99 52 55 12,,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,promoteur immobilier,Maître Défense,"100 Chemin du Moulin, 92200 Neuilly-sur-Seine",92200,Neuilly-sur-Seine,92,01 22 89 36 65,52382845700029,,Pages Jaunes,23/02/2026
Certification Assistante Juridique / TP Assistant Immo,cabinet d'avocats,SCP Conseils,"107 Rue des Écoles, 92130 Issy-les-Moulineaux",92130,Issy-les-Moulineaux,92,01 35 36 17 28,42449316100014,https://www.scp-conseils.fr,Pages Jaunes,23/02/2026
