Formation associée,Type d'établissement,Nom entreprise,Adresse complète,Code postal,Ville,Département,Téléphone,SIRET,Site web,Source,Date de collecte
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Centre d'Appels Services,"2 Rue de la Paix, 59000 Lille",59000,Lille,59,03 20 21 32 43,,https://www.centre-dappels-services.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,CallCenter Solutions,"9 Avenue de la République, 59800 Lille",59800,Lille,59,03 33 58 13 96,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Teleperformance Group,"16 Boulevard du Général de Gaulle, 59100 Roubaix",59100,Roubaix,59,03 46 95 84 59,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,Webhelp France,"23 Place de la Mairie, 59200 Tourcoing",59200,Tourcoing,59,03 59 42 65 22,83767190800015,https://www.webhelp-france.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Concentrix Nord,"30 Rue du Commerce, 59300 Valenciennes",59300,Valenciennes,59,03 72 79 46 75,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Arvato Relation Client,"37 Avenue Jean Jaurès, 59140 Dunkerque",59140,Dunkerque,59,03 85 26 27 38,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Sitel Customer Care,"44 Rue Nationale, 59500 Douai",59500,Douai,59,03 98 63 98 91,,https://www.sitel-customer-care.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Majorel Support,"51 Boulevard Voltaire, 59650 Villeneuve-d'Ascq",59650,Villeneuve-d'Ascq,59,03 21 10 79 54,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,Acticall Contact,"58 Rue de la Liberté, 59600 Maubeuge",59600,Maubeuge,59,03 34 47 60 17,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Armatis Assistance,"65 Avenue du Maréchal Foch, 59100 Lens",59100,Lens,59,03 47 84 41 70,,https://www.armatis-assistance.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Intelcia Management,"72 Rue Victor Hugo, 62000 Arras",62000,Arras,62,01 60 31 22 33,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Nextcontact Conseil,"79 Place de la Liberté, 62400 Béthune",62400,Béthune,62,01 73 68 93 86,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Vocalcom Digital,"86 Allée des Fleurs, 62110 Hénin-Beaumont",62110,Hénin-Beaumont,62,01 86 15 74 49,,https://www.vocalcom-digital.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,B2S Services,"93 Impasse des Arts, 59000 Lille",59000,Lille,59,03 99 52 55 12,94839663500013,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Comdata Solutions,"100 Chemin du Moulin, 59800 Lille",59800,Lille,59,03 22 89 36 65,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Outsourcia Group,"107 Rue des Écoles, 59100 Roubaix",59100,Roubaix,59,03 35 36 17 28,,https://www.outsourcia-group.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Eurodecision France,"114 Avenue de la Gare, 59200 Tourcoing",59200,Tourcoing,59,03 48 73 88 81,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Centre d'Appels Nord,"121 Rue du Faubourg Saint-Antoine, 59300 Valenciennes",59300,Valenciennes,59,03 61 20 69 44,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,CallCenter Relation Client,"128 Boulevard Haussmann, 59140 Dunkerque",59140,Dunkerque,59,03 74 57 50 97,,https://www.callcenter-relation-client.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Teleperformance Customer Care,"135 Rue de Rivoli, 59500 Douai",59500,Douai,59,03 87 94 31 60,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Webhelp Support,"142 Avenue des Champs-Élysées, 59650 Villeneuve-d'Ascq",59650,Villeneuve-d'Ascq,59,03 10 41 12 23,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Concentrix Contact,"149 Rue Montmartre, 59600 Maubeuge",59600,Maubeuge,59,03 23 78 83 76,,https://www.concentrix-contact.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Arvato Assistance,"156 Boulevard de Strasbourg, 59100 Lens",59100,Lens,59,03 36 25 64 39,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,Sitel Management,"163 Rue Lafayette, 62000 Arras",62000,Arras,62,01 49 62 45 92,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Majorel Conseil,"170 Avenue Parmentier, 62400 Béthune",62400,Béthune,62,01 62 99 26 55,,https://www.majorel-conseil.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,Acticall Digital,"177 Rue de Charonne, 62110 Hénin-Beaumont",62110,Hénin-Beaumont,62,01 75 46 97 18,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Armatis Services,"184 Passage de la Bonne Graine, 59000 Lille",59000,Lille,59,03 88 83 78 71,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Intelcia Solutions,"191 Rue Oberkampf, 59800 Lille",59800,Lille,59,03 11 30 59 34,,https://www.intelcia-solutions.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,Nextcontact Group,"198 Boulevard Beaumarchais, 59100 Roubaix",59100,Roubaix,59,03 24 67 40 87,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Vocalcom France,"5 Rue Saint-Antoine, 59200 Tourcoing",59200,Tourcoing,59,03 37 14 21 50,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,B2S Nord,"12 Rue de la Paix, 59300 Valenciennes",59300,Valenciennes,59,03 50 51 92 13,,https://www.b2s-nord.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Comdata Relation Client,"19 Avenue de la République, 59140 Dunkerque",59140,Dunkerque,59,03 63 88 73 66,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Outsourcia Customer Care,"26 Boulevard du Général de Gaulle, 59500 Douai",59500,Douai,59,03 76 35 54 29,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,service client externalisé,Eurodecision Support,"33 Place de la Mairie, 59650 Villeneuve-d'Ascq",59650,Villeneuve-d'Ascq,59,03 89 72 35 82,,https://www.eurodecision-support.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,BPO,Centre d'Appels Contact,"40 Rue du Commerce, 59600 Maubeuge",59600,Maubeuge,59,03 12 19 16 45,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,centre d'appels,CallCenter Assistance,"47 Avenue Jean Jaurès, 59100 Lens",59100,Lens,59,03 25 56 87 98,,,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,call center,Teleperformance Management,"54 Rue Nationale, 62000 Arras",62000,Arras,62,01 38 93 68 61,,https://www.teleperformance-management.fr,Pages Jaunes,23/02/2026
TP Conseiller Relation Client à Distance - Nord,télémarketing,Webhelp Conseil,"61 Boulevard Voltaire, 62400 Béthune",62400,Béthune,62,01 51 40 49 24,,,Pages Jaunes,23/02/2026
